ekran_boyutu,ekran_kartı.1,Ekran Kartı Bellek Tipi.1,ekran_kartı_hafızası_1,ekran_karı_tipi_1,ekran_yenileme_hızı_1,marka,hard_disk_kapasitesi,klavye,kullanım_amacı,ram_sistem_bellegi_1,ram_tipi_1,renk,ssd_kapasitesi,cozunurluk_1,cozunurluk_standartı_1,islemci_modeli_1,islemci_nesli_1,islemci_tipi_1,islemci_cekirdek_sayisi_1,isletim_sistemi_1,url,prices
14,AMD Radeon R7,Dahili,Paylaşımlı,Harici,90 Hz,Lenovo,1 TB,Q Türkçe (Aydınlatmalı),Ofis - İş,16 GB,LPDDR5,Mavi,1 TB,2880 x 1800,OLED 2.8K,7730U,5. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//lenovo/yoga-7-r7-16gb-1tb-ssd-free-dos-82ym004ptr-p-767116767?boutiqueId=61&merchantId=118352,34.999
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,32 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1245-dvb0x-b-intel-core-i5-12450h-32gb-ram-500-gb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-672167679?boutiqueId=61&merchantId=114258,32.999
"15,6",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,https://www.trendyol.com//casper/nirvana-x600-5500-bv00x-g-f-ryzen-5-5500u-16-gb-ram-500gb-nvme-ssd-freedos-p-773800526?boutiqueId=61&merchantId=129813,11.999
"17,3",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,16 GB,DDR5,Siyah,512 GB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//msi/katana-17-b12vek-607xtr-i7-12650h-16gb-ddr5-rtx4050-gddr6-6gb-512gb-ssd-17-3-fhd-144hz-dos-p-729865018?boutiqueId=61&merchantId=654346,50.999
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,Belirtilmemiş,Dell,HDD Yok,Q Türkçe,Oyun,16 GB,DDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//dell/gaming-g15-core-i7-13650hx-16gb-512gb-ssd-rtx4060-ubuntu-15-6-fhd-notebook-g155530012u-p-786905062?boutiqueId=61&merchantId=616776,37.999
"15,6",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//lenovo/ideapad-1-15alc7-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-fhd-82r4006gtr-p-739807076?boutiqueId=61&merchantId=105013,13.799
14,Nvidia GeForce MX450,GDDR5,2 GB,Harici,60 Hz,HP,Yok,Q Türkçe,Tasarım,8 GB,DDR4,Pembe,512 GB,1920 x 1080,Full HD (FHD),1165G7,11. Nesil,Intel Core i7,4,Windows,https://www.trendyol.com//hp/pavilion-14-dv0027nt-i7-1165g7-8gb-ram-512gb-ssd-2gb-geforce-mx450-14-fhd-w10h-4h0u3ea-p-215047492?boutiqueId=61&merchantId=230276,34.999
18,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,Asus,HDD Yok,RGB Türkçe,Oyun,16 GB,DDR5,Gri,1 TB,2560 x 1600,WQXGA,13980HX,13. Nesil,Intel Core i9,24,Free Dos,https://www.trendyol.com//asus/rog-strix-g18-g814ji-n6142-i9-13980hx-16-gb-1-tb-ssd-rtx-4070-240-hz-freedos-18-qhd-p-652855933?boutiqueId=61&merchantId=106740,73.449
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,Casper,HDD Yok,RGB Türkçe,Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//casper/excalibur-g770-1265-dfj0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975792?boutiqueId=623361&merchantId=968,29.999
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,4 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),1115G4,11. Nesil,Intel Core i3,2,Free Dos,https://www.trendyol.com//lenovo/ideapad3-intel-core-i3-1115g4-4gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-460495827?boutiqueId=61&merchantId=105238,8.999
"15,6",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,16 GB,DDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//hp/victus-15-fa1058nt-8w8a2ea-i5-13500h-16gb-ram-512gb-ssd-6gb-rtx-3050-15-6-fhd-freedos-p-765664652?boutiqueId=61&merchantId=467452,26.995
14,Intel UHD Graphics 600,SD,Paylaşımlı,Dahili,Belirtilmemiş,Asus,HDD Yok,Q Türkçe,Ofis - İş,8 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),N4020,Belirtilmemiş,Intel Celeron,2,Windows,https://www.trendyol.com//asus/x415ma-ek385w04-n4020-8gb-256ssd-14-fullhd-w11h-tasinabilir-bilgisayar-p-639999028?boutiqueId=61&merchantId=106664,9.059
"15,6",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,Lenovo,HDD Yok,Q Türkçe,Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),11320H,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//lenovo/ip3-82k101fqtx-i5-11320h-16gb-256gb-1tb-ssd-rtx3050ti-4gb-15-6-free-dos-m100-mouse-hediyeli-p-466833812?boutiqueId=61&merchantId=124551,23.488
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//monster/abra-a5-v20-4-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273243?boutiqueId=61&merchantId=105286,29.999
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Dell,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),1255U,12. Nesil,Intel Core i7,10,Linux,https://www.trendyol.com//dell/inspiron-3520-intel-core-i7-1255u-32gb-1tb-ssd-ubuntu-15-6-i35201013ua58-p-749890833?boutiqueId=61&merchantId=155616,22.53
"15,6",Nvidia GeForce RTX 2050,GDDR6,4 GB,Dahili,144 Hz,MSI,HDD Yok,Q İngilizce,Oyun,8 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,4,Windows,https://www.trendyol.com//msi/nb-thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-748468087?boutiqueId=61&merchantId=339221,24.899
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),11390H,11. Nesil,Intel Core i7,4,Free Dos,https://www.trendyol.com//casper/nirvana-x600-139h-bf00x-g-f-intel-core-i7-11390h-16-gb-ram-1tb-nvme-ssd-gen4-freedos-p-773800628?boutiqueId=61&merchantId=596327,16.93
"15,6",Intel Iris Graphics,DDR,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe,Ev - Okul,8 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//asus/x515ea-bq867-i5-1135g7-8gb-ram-256gb-ssd-15-6-inc-fhd-freedos-p-686326291?boutiqueId=61&merchantId=118442,12.799
"17,3",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//msi/katana-gf76-12ue-830xtr-intel-core-i7-12650h-16-gb-1-tb-ssd-rtx3060-freedos-17-3-144hz-p-767732239?boutiqueId=61&merchantId=155616,39.749
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1245-bfa0x-b-intel-core-i5-12450h-16gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672181043?boutiqueId=61&merchantId=114258,31.299
14,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,Huawei,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,8 GB,DDR1,Gri,256 GB,1920 x 1080,QHD,10110U,10. Nesil,Intel Core i3,2,Windows,https://www.trendyol.com//huawei/matebook-d14-intel-core-i3-8gb-256gb-ssd-14-windows-dizustu-bilgisayar-p-410750198?boutiqueId=61&merchantId=373972,13.499
"15,6",,,,,,Casper,HDD Yok,Q TÃ¼rkÃ§e,,,,Gri,120 GB,,,,,,,,https://www.trendyol.com//casper/nirvana-c370-5030-4c00b-intel-pentium-n5030-4gb-ram-120gb-ssd-windows-11-p-641198528?boutiqueId=61&merchantId=525156,7.999
"17,3",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe,Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//msi/katana-gf76-12uc-059xtr-i7-12700h-16gb-ddr4-rtx3050-gddr6-4gb-1tb-ssd-17-3-fhd-144hz-dos-p-274366052?boutiqueId=61&merchantId=906392,45.999
16,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,ACER,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,8 GB,DDR5,Siyah,512 GB,1920 x 1200,WUXGA,7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,https://www.trendyol.com//acer/nitro-16-an16-416-amd-ryzen-5-7535hs-8-gb-512-gb-ssd-rtx-4050-6-gb-freedos-16-wuxga-165-hz-tas-p-769714694?boutiqueId=61&merchantId=106740,27.299
"15,6",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,Belirtilmemiş,Lenovo,HDD Yok,RGB Türkçe,Oyun,32 GB,DDR4,Mavi,512 GB,2560 x 1440,WQHD,Belirtilmemiş,11. Nesil,Intel Core i7,6,Free Dos,https://www.trendyol.com//lenovo/legion-5-82jh002jtx-i7-11600h-32gb-512ssd-rtx3060-15-6-wqhd-freedos-tasinabilir-bilgisayar-p-251038225?boutiqueId=61&merchantId=105013,37.999
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,RGB Türkçe,Oyun,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn011-intel-core-i7-12700h-16-gb-512-gb-ssd-rtx-3050-144-hz-freedos-15-p-654271600?boutiqueId=61&merchantId=105290,36.563
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Ofis - İş,16 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,https://www.trendyol.com//casper/nirvana-c550-1235-bv00x-g-f-intel-core-i5-1235u-16gb-ram-500gb-nvme-ssd-gen4-freedos-p-740918586?boutiqueId=61&merchantId=808901,16.68
"17,3",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//monster/tulpar-t7-v20-6-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-17-3-fhd-144-hz-p-736976035?boutiqueId=61&merchantId=105286,39.999
14,M2 Pro 19 Çekirdekli,GDDR6X,Paylaşımlı,Dahili,120 Hz,Apple,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR5,Gri,512 GB,3024 x 1964,Retina,Belirtilmemiş,13. Nesil,Apple M2 Pro,12,Mac Os,https://www.trendyol.com//apple/macbook-pro-14-m2-pro-16gb-512gb-ssd-space-gray-laptop-apple-turkiye-garantili-mphe3tu-a-p-637235162?boutiqueId=621707&merchantId=110963,68.769
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//monster/abra-a5-v20-4-4-intel-core-i5-12450h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273029?boutiqueId=61&merchantId=105286,28.999
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,8 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//acer/nitro-5-an515-58-544k-intel-i5-12450h-8gb-512gb-rtx3050-15-6-fhd-144hz-freedos-nh-qfjey-007-p-772974544?boutiqueId=61&merchantId=203702,22.95
14,Intel HD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,Dell,1 TB,Q Türkçe,Ev - Okul,8 GB,DDR4,Siyah,SSD Yok,1366 x 768,HD Ready (HD),1115G4,11. Nesil,Intel Core i3,2,Free Dos,https://www.trendyol.com//dell/vostro-3400-i3-1115g4-8gb-1tb-ubuntu-14-n4001vn3400emea01u-8-p-380455082?boutiqueId=626264&merchantId=109239,9.449
"15,6",Nvidia GeForce MX350,GDDR5,2 GB,Harici,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,8 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),1155G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//lenovo/ip-3-15itl6-core-i5-1155g7-8gb-512gb-ssd-nvidia-geforce-mx350-freedos-15-6-fhd-82h803eytx-p-739802772?boutiqueId=61&merchantId=106934,15.599
"15,6",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,https://www.trendyol.com//casper/nirvana-x600-5500-8v00x-g-f-amd-ryzen-5-5500u-8gb-500gb-nvme-ssd-15-6-dos-gri-dizustu-bilgisayar-p-773800573?boutiqueId=623361&merchantId=968,11.499
14,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmalı),Ev - Okul,8 GB,LPDDR5,Siyah,512 GB,2560 x 1600,WQHD,Belirtilmemiş,12. Nesil,Intel Core i5,12,Windows,https://www.trendyol.com//asus/zenbook-14-ux3402za-kp632w-i5-1240p-8gb-512gb-ssd-14-wqxga-windows-11-p-738480937?boutiqueId=61&merchantId=141868,27.649
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,ACER,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,4 GB,DDR4,Beyaz,128 GB,1920 x 1080,Full HD (FHD),N305,3. Nesil,Intel Core i3,8,Windows,https://www.trendyol.com//acer/a315-510-i3-n305-4gb-128gb-ssd-15-6-fhd-windows-11-home-tasinabilir-bilgisayar-nx-kdhey-002-p-758353789?boutiqueId=626264&merchantId=106198,8.099
"15,6",Nvidia GeForce RTX 4050,DDR4,Paylaşımlı,Dahili,90 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,16 GB,DDR4,Gümüş,512 GB,1920 x 1080,Full HD (FHD),13500H,11. Nesil,Intel Core i5,4,Windows,https://www.trendyol.com//hp/victus-15-fa1025nt-core-i5-13500h-16gb-512gb-ssd-6gb-rtx-4050-15-6-w11-mika-gumus-7n9t3ea-p-773620973?boutiqueId=61&merchantId=112708,29.694
"15,6",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,https://www.trendyol.com//hp/255-g8-7n4w6aa-ryzen5-5500u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-cnt001-p-773621565?boutiqueId=61&merchantId=106664,10.699
"15,6",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe,Ofis - İş,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),5825U,5. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//lenovo/v15-g3-amd-ryzen-7-5825u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82tv004mtx-p-686366293?boutiqueId=61&merchantId=106248,14.799
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//msi/thin-gf63-12ve-083xtr-i5-12450h-16gb-ddr4-rtx4050-gddr6-6gb-1tb-ssd-15-6-fhd-144hz-dos-p-728076343?boutiqueId=61&merchantId=646501,33.9
14,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,120 Hz,Apple,HDD Yok,Q Türkçe,Tasarım,64 GB,Belirtilmemiş,Gri,1 TB,3024 x 1964,Retina,Belirtilmemiş,Belirtilmemiş,M2,12,Mac Os,https://www.trendyol.com//apple/macbook-pro-m2-max-12c-cpu-38c-gpu-64-gb-1-tb-macos-14-uzay-grisi-p-670358779?boutiqueId=61&merchantId=106740,129.999
"15,6",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe,Oyun,16 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,https://www.trendyol.com//asus/tuf-gaming-f15-i5-11400h-16gb-ram-512gb-ssd-4gb-rtx2050-15-6-fhd-144hz-fdos-fx506hf-hn028-p-664304168?boutiqueId=61&merchantId=668896,29.049
"13,6",M2 8 Çekirdekli,Dahili,8 GB,Dahili,120 Hz,Apple,250 GB,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR5,Gümüş,256 GB,2560 x 1600,Ultra HD 4K (UHD),Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-gumus-p-356763066?boutiqueId=61&merchantId=169540,35.719
"16,1",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,32 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//hp/victus-16-r0064nt-8b5y1ea-i7-13700h-32gb-1tb-rtx4060-8gb-16-1inc-144hz-fhd-freedos-gaming-laptop-p-772538683?boutiqueId=61&merchantId=105369,43.699
16,Nvidia GeForce RTX 4070,GDDR6,32 GB,Dahili,120 Hz,Asus,HDD Yok,Q İngilizce,Tasarım,32 GB,DDR5,Siyah,1 TB,3200 x 2000,Ultra HD 4K (UHD),7200U,13. Nesil,Intel Core i9,8,Windows,https://www.trendyol.com//asus/16-zenbook-pro-16x-oled-i9-1tb-multi-touch-laptop-rtx4070-p-770674783?boutiqueId=61&merchantId=810247,186.0
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,Lenovo,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-ips-tasinabilir-bi-p-784770988?boutiqueId=61&merchantId=106740,24.599
"15,6",Intel UHD Graphics 600,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,4 GB,DDR4,Gri,256 GB,1366 x 768,HD Ready (HD),N4020,1. Nesil,Intel Celeron,2,Windows,https://www.trendyol.com//lenovo/ideapad-1-82v700a9tx01-n4020-4gb-256ssd-15-6-hd-w11h-tasinabilir-bilgisayar-cnt002-p-772261829?boutiqueId=626264&merchantId=106664,8.125
"15,6",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-i5-11400h-16gb-1tb-ssd-rtx2050-4gb-144hz-15-6-fhd-w11home-hn031-p-711553856?boutiqueId=61&merchantId=668896,31.45
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Dell,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//dell/inspiron-3520-intel-core-i5-1135g7-8gb-512gb-ssd-ubuntu-15-6-fhd-120hz-tasinabilir-bilgisayar-p-777710981?boutiqueId=61&merchantId=107301,12.959
"17,3",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,500 GB,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//monster/abra-a7-v14-5-intel-core-i5-13500h-16-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736036151?boutiqueId=623361&merchantId=968,32.999
"14,1",,,,,,Monster,HDD Yok,Q TÃ¼rkÃ§e (AydÄ±nlatmalÄ±),,,,Pembe,500 GB,,,,,,,,https://www.trendyol.com//monster/huma-h4-v5-1-4-intel-core-i5-1235u-8gb-ram-500gb-ssd-freedos-14-1-fhd-rose-gold-p-456347007?boutiqueId=61&merchantId=105286,18.499
14,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,Dell,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Siyah,512 GB,1366 x 768,HD Ready (HD),1115G4,11. Nesil,Intel Core i3,2,Free Dos,https://www.trendyol.com//dell/vostro-3400-intel-core-i3-1115g4-8gb-512-gb-ssd-freedos-14-n4001vn3400ut032-p-783453322?boutiqueId=61&merchantId=499240,9.419
"15,6",Nvidia GeForce RTX 3050 Ti,Belirtilmemiş,4 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe,Oyun,16 GB,DDR4,Mavi,512 GB,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//asus/vivobook-m6500re-hn037-ryzen-7-6800h-16gb-512gb-ssd-4gb-rtx3050ti-15-6-fdos-p-445299126?boutiqueId=61&merchantId=109239,35.199
"17,3",Nvidia GeForce RTX 3050,GDDR6,12 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,64 GB,DDR5,Siyah,4 TB,3840 x 2160,Ultra HD 4K (UHD),13980HX,13. Nesil,Intel Core i9,24,Windows,https://www.trendyol.com//msi/creator-pro-x17hx-a13vks-211tr-i9-13980hx-64gb-ddr5-rtx3500-gddr6-12gb-4tb-ssd-17-3-uhd-144hz-w11p-p-710587317?boutiqueId=61&merchantId=106740,173.279
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp05116-ryzen-7-7735hs-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-p-780567982?boutiqueId=61&merchantId=106934,31.839
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe,Oyun,16 GB,DDR4,Gümüş,512 GB,1920 x 1080,Full HD (FHD),5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,https://www.trendyol.com//asus/vivobook-pro-15-m6500qc-hn095-ryzen-5-5600h-16gb-512gb-ssd-4gb-rtx-3050-15-6-full-hd-notebook-p-379307929?boutiqueId=61&merchantId=773412,24.999
"15,6",Intel UHD Graphics 600,SD,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gümüş,1 TB,1366 x 768,HD Ready (HD),N4020,5. Nesil,Intel Celeron,2,Free Dos,https://www.trendyol.com//asus/x515ma-br918a6-n4020-16gb-1tbssd-15-6-hd-freedos-tasinabilir-bilgisayar-p-700499490?boutiqueId=61&merchantId=106664,13.789
